From,To,Hour,Fuel,Value,Technology
DE,DE,1,Power,-0.0,Export
FR,DE,1,Power,-0.0,Export
NO,DE,1,Power,-0.0,Export
DK,DE,1,Power,-0.0,Export
UK,DE,1,Power,-0.0,Export
DE,FR,1,Power,-0.0,Export
FR,FR,1,Power,-0.0,Export
NO,FR,1,Power,-0.0,Export
DK,FR,1,Power,-0.0,Export
UK,FR,1,Power,-0.0,Export
DE,NO,1,Power,-0.0,Export
FR,NO,1,Power,-0.0,Export
NO,NO,1,Power,-0.0,Export
DK,NO,1,Power,-0.0,Export
UK,NO,1,Power,-0.0,Export
DE,DK,1,Power,-0.0,Export
FR,DK,1,Power,-0.0,Export
NO,DK,1,Power,-0.0,Export
DK,DK,1,Power,-0.0,Export
UK,DK,1,Power,-0.0,Export
DE,UK,1,Power,-0.0,Export
FR,UK,1,Power,-0.0,Export
NO,UK,1,Power,-0.0,Export
DK,UK,1,Power,-0.0,Export
UK,UK,1,Power,-0.0,Export
DE,DE,2,Power,-0.0,Export
FR,DE,2,Power,-0.0,Export
NO,DE,2,Power,-0.0,Export
DK,DE,2,Power,-0.0,Export
UK,DE,2,Power,-0.0,Export
DE,FR,2,Power,-0.0,Export
FR,FR,2,Power,-0.0,Export
NO,FR,2,Power,-0.0,Export
DK,FR,2,Power,-0.0,Export
UK,FR,2,Power,-0.0,Export
DE,NO,2,Power,-0.0,Export
FR,NO,2,Power,-0.0,Export
NO,NO,2,Power,-0.0,Export
DK,NO,2,Power,-0.0,Export
UK,NO,2,Power,-0.0,Export
DE,DK,2,Power,-0.0,Export
FR,DK,2,Power,-0.0,Export
NO,DK,2,Power,-0.0,Export
DK,DK,2,Power,-0.0,Export
UK,DK,2,Power,-0.0,Export
DE,UK,2,Power,-0.0,Export
FR,UK,2,Power,-0.0,Export
NO,UK,2,Power,-0.0,Export
DK,UK,2,Power,-0.0,Export
UK,UK,2,Power,-0.0,Export
DE,DE,3,Power,-0.0,Export
FR,DE,3,Power,-0.0,Export
NO,DE,3,Power,-0.0,Export
DK,DE,3,Power,-0.0,Export
UK,DE,3,Power,-0.0,Export
DE,FR,3,Power,-0.0,Export
FR,FR,3,Power,-0.0,Export
NO,FR,3,Power,-0.0,Export
DK,FR,3,Power,-0.0,Export
UK,FR,3,Power,-0.0,Export
DE,NO,3,Power,-0.0,Export
FR,NO,3,Power,-0.0,Export
NO,NO,3,Power,-0.0,Export
DK,NO,3,Power,-0.0,Export
UK,NO,3,Power,-0.0,Export
DE,DK,3,Power,-0.0,Export
FR,DK,3,Power,-0.0,Export
NO,DK,3,Power,-0.0,Export
DK,DK,3,Power,-0.0,Export
UK,DK,3,Power,-0.0,Export
DE,UK,3,Power,-0.0,Export
FR,UK,3,Power,-0.0,Export
NO,UK,3,Power,-0.0,Export
DK,UK,3,Power,-0.0,Export
UK,UK,3,Power,-0.0,Export
DE,DE,4,Power,-0.0,Export
FR,DE,4,Power,-0.0,Export
NO,DE,4,Power,-0.0,Export
DK,DE,4,Power,-0.0,Export
UK,DE,4,Power,-0.0,Export
DE,FR,4,Power,-0.0,Export
FR,FR,4,Power,-0.0,Export
NO,FR,4,Power,-0.0,Export
DK,FR,4,Power,-0.0,Export
UK,FR,4,Power,-0.0,Export
DE,NO,4,Power,-0.0,Export
FR,NO,4,Power,-0.0,Export
NO,NO,4,Power,-0.0,Export
DK,NO,4,Power,0.7085778183333353,Export
UK,NO,4,Power,-0.0,Export
DE,DK,4,Power,-0.0,Export
FR,DK,4,Power,-0.0,Export
NO,DK,4,Power,-0.0,Export
