Region,Storage,Hour,Fuel,Value
DE,PHS,57,Power,349.2893974594523
DE,PHS,58,Power,354.6209481319928
DE,PHS,59,Power,354.2663271838608
DE,PHS,60,Power,353.912060856677
DE,PHS,61,Power,353.55814879582033
DE,PHS,62,Power,353.20459064702453
DE,PHS,63,Power,352.8513860563775
DE,PHS,64,Power,352.49853467032113
DE,PHS,65,Power,352.14603613565083
DE,PHS,66,Power,351.7938900995152
DE,PHS,67,Power,351.44209620941564
DE,PHS,68,Power,351.0906541132062
DE,PHS,69,Power,350.739563459093
DE,PHS,70,Power,350.3888238956339
DE,PHS,71,Power,350.03843507173826
DE,PHS,72,Power,349.68839663666654
DE,PHS,73,Power,349.33870824002986
DE,PHS,74,Power,352.3645487667898
DE,PHS,75,Power,357.693024288023
DE,PHS,76,Power,363.016171333735
DE,PHS,77,Power,368.3339952324012
DE,PHS,78,Power,373.6465013071688
DE,PHS,79,Power,378.95369487586163
DE,PHS,80,Power,384.25558125098576
DE,PHS,81,Power,389.55216573973473
DE,PHS,82,Power,393.3985468011875
DE,PHS,83,Power,393.00514825438626
DE,PHS,84,Power,392.61214310613184
DE,PHS,85,Power,392.21953096302565
DE,PHS,86,Power,391.8273114320626
DE,PHS,87,Power,391.43548412063046
DE,PHS,88,Power,391.0440486365098
DE,PHS,89,Power,390.6530045878732
DE,PHS,90,Power,390.2623515832853
DE,PHS,91,Power,389.872089231702
DE,PHS,92,Power,389.48221714247023
DE,PHS,93,Power,389.0927349253277
DE,PHS,94,Power,388.7036421904024
DE,PHS,95,Power,388.3149385482119
DE,PHS,96,Power,387.92662360966364
DE,PHS,97,Power,387.53869698605394
DE,PHS,98,Power,387.15115828906784
DE,PHS,99,Power,386.7640071307788
DE,PHS,100,Power,386.377243123648
DE,PHS,101,Power,385.99086588052427
DE,PHS,102,Power,385.6048750146437
DE,PHS,103,Power,385.2192701396291
DE,PHS,104,Power,384.8340508694894
DE,PHS,105,Power,384.44921681861985
DE,PHS,106,Power,384.0647676018012
DE,PHS,107,Power,383.6807028341994
DE,PHS,108,Power,383.29702213136517
DE,PHS,109,Power,382.9137251092337
DE,PHS,110,Power,382.53081138412443
DE,PHS,111,Power,382.14828057274025
DE,PHS,112,Power,381.76613229216747
DE,PHS,113,Power,381.38436615987524
DE,PHS,114,Power,381.0029817937153
DE,PHS,115,Power,380.62197881192157
DE,PHS,116,Power,380.2413568331096
DE,PHS,117,Power,379.86111547627644
DE,PHS,118,Power,379.48125436080016
DE,PHS,119,Power,379.1017731064393
DE,PHS,120,Power,378.72267133333287
DE,H2Tank,1,H2,25.0
DE,H2Tank,2,H2,21.31867194152047
DE,H2Tank,3,H2,20.717174358289466
DE,H2Tank,4,H2,20.717174358289466
DE,H2Tank,5,H2,22.497139815789474
DE,H2Tank,6,H2,22.497139815789474
DE,H2Tank,7,H2,18.62761021052631
DE,H2Tank,8,H2,8.101294421052627
DE,H2Tank,9,H2,-0.0
DE,H2Tank,10,H2,-0.0
DE,H2Tank,11,H2,-0.0
DE,H2Tank,12,H2,-0.0
DE,H2Tank,13,H2,-0.0
DE,H2Tank,14,H2,-0.0
