Region,Hour,Technology,Fuel,Value
NO,21,SolarPV,Power,-0.0
DK,21,SolarPV,Power,-0.0
UK,21,SolarPV,Power,-0.0
DE,22,SolarPV,Power,-0.0
FR,22,SolarPV,Power,-0.0
NO,22,SolarPV,Power,-0.0
DK,22,SolarPV,Power,-0.0
UK,22,SolarPV,Power,-0.0
DE,23,SolarPV,Power,-0.0
FR,23,SolarPV,Power,-0.0
NO,23,SolarPV,Power,-0.0
DK,23,SolarPV,Power,-0.0
UK,23,SolarPV,Power,-0.0
DE,24,SolarPV,Power,-0.0
FR,24,SolarPV,Power,-0.0
NO,24,SolarPV,Power,-0.0
DK,24,SolarPV,Power,-0.0
UK,24,SolarPV,Power,-0.0
DE,25,SolarPV,Power,-0.0
FR,25,SolarPV,Power,-0.0
NO,25,SolarPV,Power,-0.0
DK,25,SolarPV,Power,-0.0
UK,25,SolarPV,Power,-0.0
DE,26,SolarPV,Power,-0.0
FR,26,SolarPV,Power,-0.0
NO,26,SolarPV,Power,-0.0
DK,26,SolarPV,Power,-0.0
UK,26,SolarPV,Power,-0.0
DE,27,SolarPV,Power,-0.0
FR,27,SolarPV,Power,-0.0
NO,27,SolarPV,Power,-0.0
DK,27,SolarPV,Power,-0.0
UK,27,SolarPV,Power,-0.0
DE,28,SolarPV,Power,-0.0
FR,28,SolarPV,Power,-0.0
NO,28,SolarPV,Power,-0.0
DK,28,SolarPV,Power,-0.0
UK,28,SolarPV,Power,-0.0
DE,29,SolarPV,Power,-0.0
FR,29,SolarPV,Power,-0.0
NO,29,SolarPV,Power,-0.0
DK,29,SolarPV,Power,-0.0
UK,29,SolarPV,Power,-0.0
DE,30,SolarPV,Power,-0.0
FR,30,SolarPV,Power,-0.0
NO,30,SolarPV,Power,-0.0
DK,30,SolarPV,Power,-0.0
UK,30,SolarPV,Power,-0.0
DE,31,SolarPV,Power,-0.0
FR,31,SolarPV,Power,-0.0
NO,31,SolarPV,Power,-0.0
DK,31,SolarPV,Power,-0.0
UK,31,SolarPV,Power,-0.0
DE,32,SolarPV,Power,-0.0
FR,32,SolarPV,Power,-0.0
NO,32,SolarPV,Power,-0.0
DK,32,SolarPV,Power,-0.0
UK,32,SolarPV,Power,-0.0
DE,33,SolarPV,Power,-0.0
FR,33,SolarPV,Power,-0.0
NO,33,SolarPV,Power,-0.0
DK,33,SolarPV,Power,-0.0
UK,33,SolarPV,Power,-0.0
DE,34,SolarPV,Power,-0.0
FR,34,SolarPV,Power,-0.0
NO,34,SolarPV,Power,-0.0
DK,34,SolarPV,Power,-0.0
UK,34,SolarPV,Power,-0.0
DE,35,SolarPV,Power,-0.0
FR,35,SolarPV,Power,-0.0
NO,35,SolarPV,Power,-0.0
DK,35,SolarPV,Power,-0.0
UK,35,SolarPV,Power,-0.0
DE,36,SolarPV,Power,-0.0
FR,36,SolarPV,Power,-0.0
NO,36,SolarPV,Power,-0.0
DK,36,SolarPV,Power,-0.0
UK,36,SolarPV,Power,-0.0
DE,37,SolarPV,Power,-0.0
FR,37,SolarPV,Power,-0.0
NO,37,SolarPV,Power,-0.0
DK,37,SolarPV,Power,-0.0
UK,37,SolarPV,Power,-0.0
DE,38,SolarPV,Power,-0.0
FR,38,SolarPV,Power,-0.0
NO,38,SolarPV,Power,-0.0
DK,38,SolarPV,Power,-0.0
UK,38,SolarPV,Power,-0.0
DE,39,SolarPV,Power,-0.0
FR,39,SolarPV,Power,-0.0
NO,39,SolarPV,Power,-0.0
DK,39,SolarPV,Power,-0.0
UK,39,SolarPV,Power,-0.0
DE,40,SolarPV,Power,-0.0
FR,40,SolarPV,Power,-0.0
NO,40,SolarPV,Power,-0.0
DK,40,SolarPV,Power,-0.0
UK,40,SolarPV,Power,-0.0
DE,41,SolarPV,Power,-0.0
FR,41,SolarPV,Power,-0.0
NO,41,SolarPV,Power,-0.0
DK,41,SolarPV,Power,-0.0
UK,41,SolarPV,Power,-0.0
DE,42,SolarPV,Power,-0.0
FR,42,SolarPV,Power,-0.0
NO,42,SolarPV,Power,-0.0
DK,42,SolarPV,Power,-0.0
UK,42,SolarPV,Power,-0.0
DE,43,SolarPV,Power,-0.0
FR,43,SolarPV,Power,-0.0
NO,43,SolarPV,Power,-0.0
DK,43,SolarPV,Power,-0.0
