Region,Technology,Value
DE,SolarPV,150.0
FR,SolarPV,200.0
NO,SolarPV,25.0
DK,SolarPV,45.0
UK,SolarPV,90.0
DE,CoalMine,58.77038099999998
FR,CoalMine,18.310564617075656
NO,CoalMine,7.492257039999999
DK,CoalMine,8.388
UK,CoalMine,40.20797489333333
DE,GasExtractor,71.32754060000002
FR,GasExtractor,54.871261099160236
NO,GasExtractor,10.697949033281859
DK,GasExtractor,11.7738
UK,GasExtractor,35.49700984487442
DE,CoalPowerPlant,0.0
FR,CoalPowerPlant,6.902921207831981
NO,CoalPowerPlant,2.2322570399999995
DK,CoalPowerPlant,0.0
UK,CoalPowerPlant,0.0
DE,GasPowerPlant,0.0
FR,GasPowerPlant,16.992237841737243
NO,GasPowerPlant,3.6365990332818585
DK,GasPowerPlant,0.0
UK,GasPowerPlant,0.0
DE,CoalCHPPlant,78.24000000000002
FR,CoalCHPPlant,11.407643409243676
NO,CoalCHPPlant,5.26
DK,CoalCHPPlant,13.98
UK,CoalCHPPlant,42.00500000000001
DE,GasCHPPlant,70.38000000000001
FR,GasCHPPlant,28.539023257422993
NO,GasCHPPlant,4.76
DK,GasCHPPlant,14.320000000000002
UK,GasCHPPlant,32.91166666666667
DE,Power2Gas,27.5
FR,Power2Gas,21.938095133924804
NO,Power2Gas,3.242910404999999
DK,Power2Gas,8.469419829140254
UK,Power2Gas,15.149946095028689
DE,H2Car,0.0
FR,H2Car,-0.0
NO,H2Car,0.0
DK,H2Car,0.0
UK,H2Car,0.0
DE,BEV,0.0
FR,BEV,0.0
NO,BEV,0.0
DK,BEV,0.0
UK,BEV,0.0
DE,LPGCar,24.492
FR,LPGCar,20.41
NO,LPGCar,3.3676500000000003
DK,LPGCar,3.6738000000000004
UK,LPGCar,18.369
DE,WindOnshore,100.0
FR,WindOnshore,130.0
NO,WindOnshore,40.0
DK,WindOnshore,60.0
UK,WindOnshore,140.0
DE,ElectricHeater,24.336000000000002
FR,ElectricHeater,10.948
NO,ElectricHeater,2.520447320600769
DK,ElectricHeater,11.141165237297647
UK,ElectricHeater,29.4903838946524
