Region,Technology,Value
DE,SolarPV,150.0
FR,SolarPV,200.0
NO,SolarPV,25.0
DK,SolarPV,45.0
UK,SolarPV,90.0
DE,CoalMine,51.35589405698241
FR,CoalMine,27.257648093528513
NO,CoalMine,4.743608651666667
DK,CoalMine,4.761819556060605
UK,CoalMine,35.24488839206384
DE,GasExtractor,66.72
FR,GasExtractor,47.93360671580482
NO,GasExtractor,14.422877478333332
DK,GasExtractor,15.399980443939395
UK,GasExtractor,40.46009634614391
DE,CoalPowerPlant,0.0
FR,CoalPowerPlant,4.390981426861855
NO,CoalPowerPlant,1.7769419850000006
DK,CoalPowerPlant,0.0
UK,CoalPowerPlant,0.0
DE,GasPowerPlant,0.0
FR,GasPowerPlant,22.866940049138158
NO,GasPowerPlant,4.966860811666665
DK,GasPowerPlant,0.0
UK,GasPowerPlant,0.0
DE,CoalCHPPlant,70.36905015151517
FR,CoalCHPPlant,22.866666666666656
NO,CoalCHPPlant,2.9666666666666672
DK,CoalCHPPlant,7.9363659267676745
UK,CoalCHPPlant,38.357695378649055
DE,GasCHPPlant,70.38000000000001
FR,GasCHPPlant,15.726666666666663
NO,GasCHPPlant,7.306666666666666
DK,GasCHPPlant,19.612187224747473
UK,GasCHPPlant,36.55897128801762
DE,Power2Gas,22.5
FR,Power2Gas,18.10372359350878
NO,Power2Gas,11.115617445
DK,Power2Gas,7.470328927888416
UK,Power2Gas,14.666509316666666
DE,H2Car,0.0
FR,H2Car,0.0
NO,H2Car,0.0
DK,H2Car,-0.0
UK,H2Car,0.0
DE,BEV,0.0
FR,BEV,8.368115897093242
NO,BEV,0.0
DK,BEV,0.0
UK,BEV,0.0
DE,LPGCar,24.492
FR,LPGCar,20.41
NO,LPGCar,3.3676500000000003
DK,LPGCar,3.6738000000000004
UK,LPGCar,18.369
DE,WindOnshore,100.0
FR,WindOnshore,130.0
NO,WindOnshore,40.0
DK,WindOnshore,60.0
UK,WindOnshore,140.0
DE,ElectricHeater,29.0585699090909
FR,ElectricHeater,10.948
NO,ElectricHeater,1.1360000000000001
DK,ElectricHeater,13.488
UK,ElectricHeater,27.39625942424242
