Region,Storage,Hour,Fuel,Value
DE,PHS,57,Power,674.4905614888227
DE,PHS,58,Power,679.7469109973339
DE,PHS,59,Power,679.0671640863366
DE,PHS,60,Power,678.3880969222503
DE,PHS,61,Power,677.709708825328
DE,PHS,62,Power,677.0319991165027
DE,PHS,63,Power,676.3549671173862
DE,PHS,64,Power,675.6786121502688
DE,PHS,65,Power,675.0029335381186
DE,PHS,66,Power,674.3279306045804
DE,PHS,67,Power,673.6536026739758
DE,PHS,68,Power,672.9799490713018
DE,PHS,69,Power,672.3069691222305
DE,PHS,70,Power,671.6346621531083
DE,PHS,71,Power,670.9630274909551
DE,PHS,72,Power,670.2920644634642
DE,PHS,73,Power,669.6217723990007
DE,PHS,74,Power,676.8273298616018
DE,PHS,75,Power,686.8953856262742
DE,PHS,76,Power,696.9533733351819
DE,PHS,77,Power,707.0013030563807
DE,PHS,78,Power,717.0391848478583
DE,PHS,79,Power,727.0670287575444
DE,PHS,80,Power,737.0848448233212
DE,PHS,81,Power,744.8286865054978
DE,PHS,82,Power,744.0838578189923
DE,PHS,83,Power,743.3397739611734
DE,PHS,84,Power,742.5964341872121
DE,PHS,85,Power,741.8538377530249
DE,PHS,86,Power,741.1119839152718
DE,PHS,87,Power,740.3708719313565
DE,PHS,88,Power,739.6305010594252
DE,PHS,89,Power,738.8908705583658
DE,PHS,90,Power,738.1519796878074
DE,PHS,91,Power,737.4138277081196
DE,PHS,92,Power,736.6764138804115
DE,PHS,93,Power,735.939737466531
DE,PHS,94,Power,735.2037977290645
DE,PHS,95,Power,734.4685939313355
DE,PHS,96,Power,733.7341253374042
DE,PHS,97,Power,733.0003912120668
DE,PHS,98,Power,732.2673908208548
DE,PHS,99,Power,731.5351234300339
DE,PHS,100,Power,730.8035883066038
DE,PHS,101,Power,730.0727847182973
DE,PHS,102,Power,729.3427119335789
DE,PHS,103,Power,728.6133692216454
DE,PHS,104,Power,727.8847558524237
DE,PHS,105,Power,727.1568710965713
DE,PHS,106,Power,726.4297142254748
DE,PHS,107,Power,725.7032845112493
DE,PHS,108,Power,724.977581226738
DE,PHS,109,Power,724.2526036455113
DE,PHS,110,Power,723.5283510418658
DE,PHS,111,Power,722.8048226908239
DE,PHS,112,Power,722.0820178681331
DE,PHS,113,Power,721.359935850265
DE,PHS,114,Power,720.6385759144147
DE,PHS,115,Power,719.9179373385002
DE,PHS,116,Power,719.1980194011617
DE,PHS,117,Power,718.4788213817606
DE,PHS,118,Power,717.7603425603788
DE,PHS,119,Power,717.0425822178184
DE,PHS,120,Power,716.3255396356006
DE,H2Tank,1,H2,25.0
DE,H2Tank,2,H2,20.450324594736838
DE,H2Tank,3,H2,20.450324594736838
DE,H2Tank,4,H2,20.450324594736838
DE,H2Tank,5,H2,20.450324594736838
DE,H2Tank,6,H2,20.450324594736838
DE,H2Tank,7,H2,16.28841312631578
DE,H2Tank,8,H2,5.762097336842098
DE,H2Tank,9,H2,0.0
DE,H2Tank,10,H2,-0.0
DE,H2Tank,11,H2,-0.0
DE,H2Tank,12,H2,-0.0
DE,H2Tank,13,H2,-0.0
DE,H2Tank,14,H2,-0.0
DE,H2Tank,15,H2,-0.0
DE,H2Tank,16,H2,-0.0
DE,H2Tank,17,H2,-0.0
DE,H2Tank,18,H2,-0.0
DE,H2Tank,19,H2,-0.0
DE,H2Tank,20,H2,-0.0
DE,H2Tank,21,H2,-0.0
DE,H2Tank,22,H2,-0.0
DE,H2Tank,23,H2,-0.0
DE,H2Tank,24,H2,-0.0
DE,H2Tank,25,H2,0.0
DE,H2Tank,26,H2,-0.0
DE,H2Tank,27,H2,-0.0
DE,H2Tank,28,H2,0.0
DE,H2Tank,29,H2,11.875
DE,H2Tank,30,H2,23.75
DE,H2Tank,31,H2,35.625
DE,H2Tank,32,H2,46.50920506041667
DE,H2Tank,33,H2,46.50920506041667
DE,H2Tank,34,H2,46.50920506041667
DE,H2Tank,35,H2,46.50920506041667
DE,H2Tank,36,H2,46.47068899024123
DE,H2Tank,37,H2,36.831296988675774
DE,H2Tank,38,H2,26.30498119920209
